Event,	Stroke,	Distance,	A or B Final,	2005,	2006,	2007,	2008,	2009,	2010,	2011,	2012,	2013,	2014,	2015,	2016,	2017,	2018,	2019,	2020,	2021,	2022,	2023,
A 500 FR,	FR,	500,	A,	257.6,	257.33,	257.18,	256.27,	254.67,	257.28,	257.6,	256.28,	256.17,	254.06,	253.65,	253.97,	252.18,	252.87,	253.72,	covid,	252.37,	251.27,	251.81,
B 500 FR,	FR,	500,	B,	259.75,	261.01,	260.49,	259.68,	257.09,	259.61,	259.59,	257.45,	257.42,	256.77,	256.27,	256.79,	254.09,	254.98,	254.47,	covid,	254.1,	253.81,	253.59,
A 200 IM,	IM,	200,	A,	105.97,	105.53,	104.99,	105,	103.56,	103.8,	104.27,	103.72,	103.55,	102.24,	102.44,	102.15,	102.24,	102.13,	102.26,	covid,	102.21,	100.91,	101.52,
B 200 IM,	IM,	200,	B,	106.64,	106.54,	106.2,	106.04,	104.29,	104.75,	104.64,	105.09,	104.24,	103.66,	103.68,	103.63,	103.32,	102.97,	103.05,	covid,	103.13,	102.35,	102.33,
A 50 FR,	FR,	50,	A,	19.45,	19.44,	19.37,	19.49,	19.09,	19.37,	19.36,	19.41,	19.47,	19.11,	19.28,	19.18,	19.06,	19.04,	19.05,	covid,	19.17,	18.94,	18.87,
B 50 FR,	FR,	50,	B,	19.71,	19.62,	19.62,	19.61,	19.35,	19.63,	19.62,	19.62,	19.63,	19.42,	19.39,	19.48,	19.28,	19.2,	19.2,	covid,	19.39,	19.16,	19.04,
A 400 IM,	IM,	400,	A,	228.49,	227.7,	226.25,	226.34,	223.46,	223.81,	224.81,	225.3,	222.42,	222.85,	221.82,	221.42,	220.64,	219.52,	220.78,	covid,	220.8,	219.62,	219.09,
B 400 IM,	IM,	400,	B,	231.09,	230.42,	229.67,	229.23,	226.12,	227.04,	226.56,	228.26,	225.67,	225.13,	224.16,	223.2,	223.64,	221.72,	222.77,	covid,	224.05,	221.1,	221.67,
A 100 FL,	FL,	100,	A,	47.06,	46.78,	46.6,	46.34,	45.69,	46.38,	46,	46.35,	46.16,	45.92,	45.92,	45.66,	45.47,	45.29,	45.31,	covid,	45.1,	44.78,	44.65,
B 100 FL,	FL,	100,	B,	47.46,	47.29,	47.18,	46.92,	46.36,	46.79,	46.52,	46.92,	46.7,	46.33,	46.32,	46.16,	45.87,	45.7,	45.64,	covid,	45.64,	45.16,	45.24,
A 200 FR,	FR,	200,	A,	95.2,	94.91,	94.8,	93.69,	93.64,	93.86,	94.48,	94.44,	93.38,	93.56,	93.26,	93.18,	93.21,	92.84,	92.42,	covid,	92.68,	92,	92.28,
B 200 FR,	FR,	200,	B,	96.03,	96.12,	95.69,	95.66,	94.41,	95.03,	95.07,	95.43,	94.66,	94.34,	94.06,	94.23,	93.58,	93.7,	92.93,	covid,	92.98,	92.58,	92.61,
A 100 BR,	BR,	100,	A,	53.77,	53.7,	53.13,	53.25,	52.43,	52.82,	53.07,	52.95,	52.66,	52.44,	51.83,	52.35,	52.06,	52.28,	51.93,	covid,	51.73,	51.4,	51.12,
B 100 BR,	BR,	100,	B,	54.41,	54.16,	53.92,	53.71,	53.47,	53.52,	53.31,	53.48,	53.33,	53.05,	52.72,	52.7,	52.41,	52.47,	52.25,	covid,	52.03,	51.92,	51.66,
A 100 BK,	BK,	100,	A,	47.1,	47.28,	46.87,	46.98,	46.33,	46.54,	46.13,	46.69,	46.14,	45.75,	45.61,	45.77,	45.27,	45.21,	45.09,	covid,	45.04,	44.72,	45.05,
B 100 BK,	BK,	100,	B,	47.98,	48.2,	47.56,	47.54,	46.76,	47.02,	47.01,	47.08,	46.59,	46.36,	46.12,	46.1,	45.87,	45.93,	45.37,	covid,	45.53,	45.36,	45.54,
A 1650 FR,	FR,	1650,	A,	898.4,	895.85,	900.86,	899.02,	886.06,	893.71,	888.69,	883.83,	889.62,	887.74,	887.85,	888.03,	875.82,	880.48,	879.52,	covid,	880.7,	875.38,	882.8,
B 1650 FR,	FR,	1650,	B,	909.24,	904.44,	909.45,	908.45,	896.8,	901.92,	903.31,	900,	895.74,	896.09,	895.15,	892.78,	886.4,	886.59,	886.35,	covid,	891.36,	892.4,	888.63,
A 200 BK,	BK,	200,	A,	103.04,	103.31,	102.75,	102.4,	100.47,	101.55,	102.04,	102.14,	101.45,	100.42,	100.16,	99.92,	99.83,	99.22,	99.37,	covid,	100.2,	99.49,	99.54,
B 200 BK,	BK,	200,	B,	104.84,	105.2,	103.97,	103.67,	101.83,	102.45,	103.07,	102.57,	102,	101.07,	101.21,	100.74,	100.62,	100.27,	100.86,	covid,	101.08,	100.37,	100.75,
A 100 FR,	FR,	100,	A,	42.75,	42.91,	42.79,	42.45,	42.34,	42.44,	42.39,	42.94,	42.74,	42.42,	42.37,	42.36,	41.96,	41.82,	41.76,	covid,	41.83,	41.52,	41.34,
B 100 FR,	FR,	100,	B,	43.43,	43.46,	43.02,	43.26,	42.78,	43.22,	43.07,	43.2,	43.02,	42.53,	42.61,	42.67,	42.52,	42.25,	42.18,	covid,	42.47,	41.92,	41.95,
A 200 BR,	BR,	200,	A,	117.01,	116.56,	116.17,	116.17,	113.96,	114.7,	114.59,	114.91,	114.23,	113.42,	112.6,	114.29,	113.58,	113.1,	112.75,	covid,	112.3,	111.32,	111.44,
B 200 BR,	BR,	200,	B,	118.76,	118.84,	117.31,	117.47,	115.22,	115.57,	115.32,	116.1,	115.54,	114.34,	113.33,	115.58,	114.13,	114.36,	113.81,	covid,	113.32,	112.57,	112.26,
A 200 FL,	FL,	200,	A,	104.67,	105.44,	104.37,	103.83,	102.73,	103.22,	103.41,	103.45,	103.67,	103.1,	102.13,	102.07,	101.38,	101,	100.94,	covid,	101.33,	100.63,	101.39,
B 200 FL,	FL,	200,	B,	106.24,	106.51,	105.92,	105.2,	103.62,	104.52,	104.44,	104.58,	104.22,	103.45,	102.82,	102.98,	102.1,	102.4,	101.77,	covid,	102.51,	101.76,	102.24,
